Step,A* + UNet + IL,Weighted A* + UNet + IL,A* + Unet,Weighted A* + Unet,A* + CNN + IL,A* + CNN,Weighted A* + CNN +IL,Weighted A* + CNN
27,72.08444977,73.74493408,75.47415161,73.66981506,72.22156525,73.92243958,72.980896,74.99996185
28,72.85466003,72.10644531,71.69277191,74.25894165,71.13225555,73.36667633,73.3028717,73.36779785
30,49.45789337,63.75419998,71.44284058,72.13231659,57.23208237,69.49490356,64.50244904,78.39553833
31,54.46087646,67.02941132,67.41658783,72.21321106,54.4228363,67.5559082,62.99607849,74.56808472
32,58.20269775,64.81016541,73.26929474,71.09207153,56.81295013,70.28076172,60.47089005,79.94582367
33,50.2363205,61.23801804,68.93450165,73.96699524,51.64762497,70.89295959,64.99014282,72.11214447
34,54.74644852,63.24105072,69.52988434,67.68452454,54.14143753,71.43006134,65.55856323,72.53445435
36,61.84456635,70.28069305,76.58083344,77.1529007,62.2013855,75.33325195,69.69785309,74.0782547
37,61.59871292,66.44535828,75.39689636,75.37480164,69.33205414,67.23181152,69.9455719,72.6700592
38,57.5324173,67.52376556,78.46192932,72.21950531,68.20005035,74.043396,76.73236847,73.16207123
39,58.7354393,70.58616638,76.14813232,76.29971313,67.56692505,73.59791565,73.15562439,74.87245941
40,62.32111359,68.13941956,74.61541748,72.03577423,69.94823456,71.70924377,70.49330139,75.8666687
42,67.89378357,67.66997528,67.51244354,66.05252075,66.78307343,68.28573608,63.66963577,69.68453217
43,67.34830475,66.65466309,66.67551422,66.63245392,65.28468323,67.70518494,66.41194153,66.56080627
44,67.36369324,68.66204834,68.53974915,67.17584229,65.9799881,66.94717407,63.94032288,68.29966736
45,67.2829895,67.85244751,67.2022171,69.14391327,65.57550049,67.35870361,67.01166534,68.10829163
46,66.0554657,67.25532532,67.84313965,66.32256317,65.3446579,67.52856445,66.8323822,67.61326599
50,58.96600342,67.98545837,72.60058594,84.95886993,66.61720276,79.89840698,79.34529114,84.2416153
51,57.01059341,65.84594727,80.03557587,78.63513947,68.7383194,80.76906586,71.87889862,83.75698853
52,61.60325623,64.45664978,82.75083923,83.38977051,65.8399353,71.53578186,76.58123779,85.26023102
53,58.02303696,68.80101776,79.56799316,88.42431641,67.43875885,80.61788177,70.24632263,77.38732147
54,58.3776474,69.30435181,87.71465302,90.09558868,70.5615387,80.24417114,77.55349731,85.0160141
56,72.87721252,72.78957367,78.42684937,75.53260803,74.01953888,76.32842255,75.68689728,79.05382538
57,72.89676666,75.78491974,79.25971985,78.64957428,73.04036713,77.19671631,74.72913361,76.42436218
58,73.57894135,73.84971619,77.86633301,76.81031036,73.53231049,80.17410278,77.7774353,76.34030151
59,74.01374054,75.97662354,73.7338562,77.12498474,75.97042847,79.88961029,74.78553772,78.3609848
60,71.14253235,74.51498413,75.77378082,78.23490143,70.44036865,81.39339447,76.96968842,78.13465118
62,66.86673737,73.66758728,78.64218903,78.52637482,69.13494873,81.25614929,75.88981628,78.79914856
63,66.43591309,75.8031311,72.73667145,76.2833252,71.12051392,75.055336,76.22782898,76.2312851
64,61.55397797,76.18056488,74.89028931,75.43540192,73.92912292,73.59210968,79.00858307,77.05255127
65,62.3805275,73.95178986,74.74794006,76.17146301,70.64230347,78.21653748,76.86929321,76.22724152
66,65.73493195,72.78814697,74.17047882,73.12833405,68.04967499,77.33216095,75.05364227,78.68000793
68,71.91731262,71.6707077,72.93009186,78.86769867,71.76132965,75.62068176,73.96807098,76.49081421
69,69.94799805,71.50837708,77.32014465,75.37015533,69.99620056,76.15296936,68.80456543,77.75193787
70,65.43707275,74.89448547,74.25473785,75.56983948,67.50505066,76.77679443,75.62583923,78.09332275
71,69.95142365,74.87384033,73.87633514,75.61569977,69.94004822,75.63339996,71.89597321,78.73361206
72,73.333992,72.86592865,80.29441833,74.10778046,71.78772736,74.85853577,78.03343201,75.30323792
74,73.325737,72.21925354,76.25431824,74.48964691,71.24954987,76.82752228,72.81246185,75.07205963
75,68.83324432,75.18725586,77.41788483,74.71129608,73.09703064,73.64203644,74.56324768,76.7299881
76,69.6943512,71.44059753,74.5905838,74.92210388,71.47857666,74.7381897,74.37857819,73.30590057
77,71.8561554,69.4604187,73.42868042,74.33136749,73.25135803,74.83023071,74.05386353,77.91027832
78,74.11577606,72.60918427,73.94680786,74.01586914,73.26935577,74.75093842,73.09040833,75.01146698
80,47.00828171,58.51942062,71.08999634,73.11724091,56.03968811,69.12002563,65.66300201,67.79723358
81,44.13536072,64.37645721,62.84204102,71.73874664,53.78434753,66.16055298,65.69512939,74.84202576
82,52.30004501,61.61996078,69.67042542,70.05037689,50.85158157,68.1363678,66.58050537,73.02510071
83,53.29198456,59.92889786,66.97379303,71.47341919,54.60936356,70.51711273,59.08405685,76.58795929
84,52.86366272,61.98501587,72.5194397,74.6953125,55.88317108,71.42114258,66.70467377,65.94478607
86,61.21223068,68.76257324,72.04615784,72.8338089,62.55708694,73.48768616,70.6200943,73.82767487
87,64.55934906,68.82835388,78.28179169,73.75296021,65.84646606,76.15620422,75.12849426,74.89578247
