Step,A* + UNet + IL,Weighted A* + UNet + IL,A* + Unet,Weighted A* + Unet,A* + CNN + IL,A* + CNN,Weighted A* + CNN +IL,Weighted A* + CNN
529,93.40885401,99.36270499,102.1887579,104.6903894,91.91269898,112.7366858,137.5419838,135.5485044
535,85.44603181,91.09908247,101.5416396,96.22358954,97.68067527,94.79976308,130.3981926,145.3174009
541,64.55951786,102.2303514,120.2036004,103.8137393,104.2416475,99.63211656,126.0888495,144.5613945
547,94.60146666,87.8112185,99.90490294,139.5244391,113.0461383,101.3244989,128.1977912,145.7730018
548,104.8262014,98.21824002,108.254295,94.20978332,100.2798181,102.3544395,143.7268395,134.073536
555,95.09624863,96.0778966,102.9830544,130.898304,98.74927974,105.304213,127.1792279,126.8861749
561,96.89358163,100.0483656,105.3252032,107.9628543,105.4480846,97.2974534,133.1865358,147.309723
567,71.42111993,97.7001462,109.8885708,109.0278087,98.17262483,108.0568522,136.8326967,142.9224107
573,70.85179734,91.02468848,101.6720569,111.912627,95.47333121,105.202741,131.0688992,127.2347898
579,65.83411264,89.53372169,102.7453599,95.05688816,100.8148639,112.9468981,133.8657715,131.4969997
585,71.67824578,96.99520826,99.70232511,139.2691199,100.0066991,111.8623151,141.5725315,128.2389899
591,70.90104651,90.36189342,108.1043394,127.94171,94.61411786,110.7083147,133.3344855,139.5830595
597,73.86149502,93.67752492,110.7481807,124.067806,92.23522353,101.9553382,133.6476185,144.1818883
598,80.32635355,93.57602429,107.3674629,144.9244822,101.1602859,107.6611944,148.4042528,141.4450817
605,68.17228746,127.3510172,107.4076455,101.1094362,90.54112291,108.7575979,120.8916022,144.5766389
611,70.49149275,95.24570715,109.780632,140.0188119,99.48226643,97.50734591,127.1321604,131.4036511
617,74.54389524,117.7741306,107.5469377,136.8287556,101.0841482,100.175198,140.3125454,141.6573715
623,93.03387833,103.1118693,106.7410923,97.83139336,108.3602424,102.0819652,140.8892481,131.229616
629,71.21320343,122.0420095,95.05339241,133.1005812,91.29395604,113.8437004,93.64904594,130.3395864
635,73.05578899,106.3094227,109.7497355,97.06002355,102.795783,106.9170661,123.2808802,127.5690165
641,67.95607018,128.2021348,106.6761687,105.4763035,98.23646426,103.8981804,120.6227396,132.0083503
647,74.22425961,132.3589916,102.5460999,101.2151428,92.7578578,95.68038416,131.8399682,134.2583396
648,65.79620242,86.26825404,109.659026,102.783168,109.1057012,102.6653037,133.4547637,135.9805124
655,67.34588385,97.35052848,104.458795,93.99773502,99.25744104,110.9938194,136.4315414,130.5256425
661,89.71853113,128.8553472,109.7542814,127.470494,94.88613462,103.6820278,137.6241417,131.2363188
667,98.11952496,102.6716952,101.1511328,125.5951673,92.12921977,112.5271112,131.1620573,139.5558068
673,65.06800365,95.47404456,103.4435937,106.9971995,94.54800606,108.7095338,125.4257767,134.1614654
679,67.3756454,124.9255896,103.8639309,130.3081045,98.0155797,106.5103762,131.5132189,139.5837737
685,77.87459278,121.1642282,104.0189583,107.6041657,106.7640784,137.1920582,126.6736791,129.9278644
691,63.46519423,105.6096468,107.8722908,112.3607484,101.074657,106.1948004,123.0013874,134.7349706
697,66.76105261,129.7039435,111.9292195,110.1892095,88.47948813,104.8373535,135.6669106,131.5711209
698,94.2633512,119.1817048,110.8918089,129.4145157,91.54418111,103.5055383,139.6537149,134.510295
705,74.36423516,87.37468445,98.97197175,96.8765409,111.7925363,103.8402464,102.7428291,134.8133137
711,100.2296114,94.6497674,101.8012707,127.7490995,88.93528485,98.86626863,144.2636309,134.3581649
717,96.6705637,116.4624934,117.4822615,98.61309433,104.0583215,111.3475097,141.0618157,136.8677027
723,95.67388296,92.9133637,92.36208057,113.5950291,97.32749724,92.87151349,133.1998425,121.6072682
729,78.63654423,92.60350275,115.9489412,94.99432182,102.5004389,105.4976493,128.7122495,150.5247006
735,65.10655975,123.8669895,106.5854001,96.2911346,91.83913755,97.73349237,116.2487202,139.3895851
741,67.11190224,89.98985016,98.75223911,135.0879236,97.80958581,98.55816734,133.7233329,144.0817853
747,73.87903738,93.26249766,96.37791967,144.1331425,101.9460328,98.57676136,134.4456069,141.122286
748,96.97276592,125.3669949,109.9774544,98.53399467,99.85972762,98.85118186,139.3193587,134.7649729
755,68.04215813,104.5674541,109.4830494,112.6683636,102.6839192,96.32377744,125.3548779,136.5652292
761,63.68356657,128.995173,107.9018013,96.73440886,95.67704344,112.6336253,129.5341275,138.3622652
767,96.7591877,94.40175611,103.8705478,105.2777301,101.8694468,107.8692024,132.4899731,131.9092824
773,71.11519575,93.31820154,96.48829603,99.10771942,95.66609693,100.2723565,145.0531278,146.2568748
779,69.61974525,98.73796403,103.8404076,100.9148601,89.83635187,104.0602999,126.9996926,139.0014908
785,61.89719629,102.0308943,99.28821111,112.317414,93.60794592,111.490026,132.4421831,137.7513013
791,91.75937343,96.70742488,96.993855,102.2945193,100.7343152,95.06818497,127.0061252,136.8556777
797,86.32043195,109.1598394,108.0120013,94.64304864,107.3467004,105.1700431,133.0220075,147.1644536
798,72.87682343,95.75150752,99.77824605,107.7190424,96.17029476,101.8301215,123.9863822,126.294119
805,62.75982761,97.02548647,106.0792947,105.5763681,103.8326206,98.19669366,143.1765788,124.6090972
811,70.64603758,86.21116972,112.9178939,109.6369506,86.8249135,98.94828224,136.2320237,134.7114812
817,101.0987568,96.63811839,110.0568147,101.6569597,94.95954919,101.24336,139.4536538,137.9746039
823,66.2360692,92.51319265,111.9744174,139.1219659,98.26363921,96.73865783,130.2621019,126.7703809
829,71.98221827,94.61857367,102.3260238,96.56897521,107.2117498,103.7203147,125.6052542,142.3594717
835,105.6976819,123.8846862,106.9589474,134.8825563,106.7504659,100.8771544,137.6725779,132.7694244
841,70.29228783,99.35544538,108.9662822,97.39535332,105.0568349,105.9189218,139.8865719,133.3712646
847,97.78636742,131.0187926,91.95910525,110.0208575,88.27814937,92.65668869,100.7591617,136.4716842
848,67.91772151,84.1972568,104.0029314,99.38090038,99.84292984,99.33528507,137.3259182,147.4315712
855,94.20071697,92.49537826,111.6852218,95.56199527,115.4614711,101.7572536,139.7971835,140.1192398
